Fondsposition per,"10.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"LOTB","LOTUS BAKERIES NV","Nichtzyklische Konsumgüter","Aktien","2.463.300,00","0,03","2.463.300,00","322,00","7.650,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"SWEC B","SWECO CLASS B","Industrie","Aktien","2.456.154,29","0,03","2.456.154,29","169.019,00","14,53","Schweden","Nasdaq Omx Nordic","SEK"
"ENG","ENAGAS SA","Versorger","Aktien","2.430.590,00","0,03","2.430.590,00","178.000,00","13,65","Spanien","Bolsa De Madrid","EUR"
"AKE","ARKEMA SA","Materialien","Aktien","2.384.407,35","0,03","2.384.407,35","46.891,00","50,85","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EVK","EVONIK INDUSTRIES AG","Materialien","Aktien","2.371.959,08","0,03","2.371.959,08","184.876,00","12,83","Deutschland","Xetra","EUR"
"PNN","PENNON GROUP PLC","Versorger","Aktien","2.361.855,02","0,03","2.361.855,02","396.588,00","5,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"AYV","AYVENS SA","Industrie","Aktien","2.346.052,80","0,03","2.346.052,80","214.840,00","10,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RS1","RS GROUP PLC","Industrie","Aktien","2.339.865,34","0,03","2.339.865,34","337.741,00","6,93","Vereinigtes Königreich","London Stock Exchange","GBP"
"SFZN","SIEGFRIED HOLDING AG","Gesundheitsversorgung","Aktien","2.330.674,57","0,03","2.330.674,57","29.875,00","78,01","Schweiz","SIX Swiss Exchange","CHF"
"EMG","MAN GROUP PLC","Financials","Aktien","2.316.148,77","0,02","2.316.148,77","937.173,00","2,47","Vereinigtes Königreich","London Stock Exchange","GBP"
"AED","AEDIFICA NV","Immobilien","Aktien","2.307.316,20","0,02","2.307.316,20","36.393,00","63,40","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"SIGN","SIG GROUP N AG","Materialien","Aktien","2.281.526,26","0,02","2.281.526,26","223.242,00","10,22","Schweiz","SIX Swiss Exchange","CHF"
"CWK","CRANSWICK PLC","Nichtzyklische Konsumgüter","Aktien","2.281.554,28","0,02","2.281.554,28","39.176,00","58,24","Vereinigtes Königreich","London Stock Exchange","GBP"
"DIE","DIETEREN (D) SA","Zyklische Konsumgüter ","Aktien","2.270.120,00","0,02","2.270.120,00","15.656,00","145,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"COFB","COFINIMMO REIT SA","Immobilien","Aktien","2.266.008,90","0,02","2.266.008,90","30.274,00","74,85","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"MANTA","MANDATUM","Financials","Aktien","2.256.844,36","0,02","2.256.844,36","341.739,00","6,60","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"WIE","WIENERBERGER AG","Materialien","Aktien","2.247.845,60","0,02","2.247.845,60","78.596,00","28,60","Österreich","Wiener Boerse Ag","EUR"
"MYCR","MYCRONIC","IT","Aktien","2.246.270,06","0,02","2.246.270,06","112.367,00","19,99","Schweden","Nasdaq Omx Nordic","SEK"
"ROR","ROTORK PLC","Industrie","Aktien","2.243.870,19","0,02","2.243.870,19","604.166,00","3,71","Vereinigtes Königreich","London Stock Exchange","GBP"
"HUH1V","HUHTAMAKI","Materialien","Aktien","2.219.955,36","0,02","2.219.955,36","77.784,00","28,54","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ALLFG","ALLFUNDS GROUP PLC","Financials","Aktien","2.213.733,48","0,02","2.213.733,48","282.184,00","7,84","Niederlande","Euronext Amsterdam","EUR"
"COV","COVIVIO SA","Immobilien","Aktien","2.200.258,60","0,02","2.200.258,60","40.897,00","53,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"FTK","FLATEXDEGIRO N AG","Financials","Aktien","2.181.013,52","0,02","2.181.013,52","63.847,00","34,16","Deutschland","Xetra","EUR"
"LATO B","LATOUR INVESTMENT CLASS B","Industrie","Aktien","2.178.426,97","0,02","2.178.426,97","107.437,00","20,28","Schweden","Nasdaq Omx Nordic","SEK"
"PLUS","PLUS500 LTD","Financials","Aktien","2.175.894,50","0,02","2.175.894,50","55.867,00","38,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"RUI","RUBIS","Versorger","Aktien","2.161.656,12","0,02","2.161.656,12","67.594,00","31,98","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"REY","REPLY","IT","Aktien","2.160.512,20","0,02","2.160.512,20","18.403,00","117,40","Italien","Borsa Italiana","EUR"
"SUNN","SUNRISE N CLASS A AG","Kommunikation","Aktien","2.148.798,72","0,02","2.148.798,72","49.335,00","43,56","Schweiz","SIX Swiss Exchange","CHF"
"RBREW","ROYAL UNIBREW","Nichtzyklische Konsumgüter","Aktien","2.141.184,45","0,02","2.141.184,45","29.132,00","73,50","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"MBK","MBANK SA","Financials","Aktien","2.115.744,65","0,02","2.115.744,65","8.851,00","239,04","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"KBCA","KBC ANCORA NV","Financials","Aktien","2.112.153,10","0,02","2.112.153,10","29.053,00","72,70","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"CMBN","CEMBRA MONEY BANK LTD","Financials","Aktien","2.111.301,50","0,02","2.111.301,50","21.033,00","100,38","Schweiz","SIX Swiss Exchange","CHF"
"CCL","CARNIVAL PLC","Zyklische Konsumgüter ","Aktien","2.108.281,74","0,02","2.108.281,74","101.943,00","20,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"UMI","UMICORE SA","Materialien","Aktien","2.106.733,38","0,02","2.106.733,38","133.422,00","15,79","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BCVN","BC VAUD N","Financials","Aktien","2.092.069,55","0,02","2.092.069,55","19.989,00","104,66","Schweiz","SIX Swiss Exchange","CHF"
"TEG","TAG IMMOBILIEN AG","Immobilien","Aktien","2.068.859,00","0,02","2.068.859,00","159.143,00","13,00","Deutschland","Xetra","EUR"
"MOBN","MOBIMO HOLDING AG","Immobilien","Aktien","2.069.035,34","0,02","2.069.035,34","5.524,00","374,55","Schweiz","SIX Swiss Exchange","CHF"
"AALB","AALBERTS NV","Industrie","Aktien","2.063.435,56","0,02","2.063.435,56","73.589,00","28,04","Niederlande","Euronext Amsterdam","EUR"
"ARCAD","ARCADIS NV","Industrie","Aktien","2.062.003,32","0,02","2.062.003,32","57.954,00","35,58","Niederlande","Euronext Amsterdam","EUR"
"FDJU","FDJ UNITED","Zyklische Konsumgüter ","Aktien","2.059.243,66","0,02","2.059.243,66","90.397,00","22,78","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HOLM B","HOLMEN CLASS B","Materialien","Aktien","2.052.592,94","0,02","2.052.592,94","65.166,00","31,50","Schweden","Nasdaq Omx Nordic","SEK"
"GL9","GLANBIA PLC","Nichtzyklische Konsumgüter","Aktien","2.049.914,49","0,02","2.049.914,49","140.309,00","14,61","Irland","Irish Stock Exchange - All Market","EUR"
"NEXI","NEXI","Financials","Aktien","2.047.617,55","0,02","2.047.617,55","509.738,00","4,02","Italien","Borsa Italiana","EUR"
"HIK","HIKMA PHARMACEUTICALS PLC","Gesundheitsversorgung","Aktien","2.044.093,54","0,02","2.044.093,54","116.766,00","17,51","Vereinigtes Königreich","London Stock Exchange","GBP"
"RF","EURAZEO","Financials","Aktien","2.041.247,10","0,02","2.041.247,10","37.731,00","54,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DEMANT","DEMANT","Gesundheitsversorgung","Aktien","2.039.358,46","0,02","2.039.358,46","71.315,00","28,60","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ROCK B","ROCKWOOL CLASS B","Industrie","Aktien","2.029.035,63","0,02","2.029.035,63","71.271,00","28,47","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"FRO","FRONTLINE","Energie","Aktien","2.018.599,18","0,02","2.018.599,18","104.068,00","19,40","Norwegen","Oslo Bors Asa","NOK"
"ADP","AEROPORTS DE PARIS SA","Industrie","Aktien","2.008.531,80","0,02","2.008.531,80","16.017,00","125,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"QQ.","QINETIQ GROUP PLC","Industrie","Aktien","1.995.640,60","0,02","1.995.640,60","409.238,00","4,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"LIGHT","SIGNIFY NV","Industrie","Aktien","1.989.367,16","0,02","1.989.367,16","101.602,00","19,58","Niederlande","Euronext Amsterdam","EUR"
"SUN","SULZER AG","Industrie","Aktien","1.967.410,33","0,02","1.967.410,33","12.965,00","151,75","Schweiz","SIX Swiss Exchange","CHF"
"INPST","INPOST SA","Industrie","Aktien","1.912.399,47","0,02","1.912.399,47","196.043,00","9,76","Niederlande","Euronext Amsterdam","EUR"
"UNI","UNICAJA BANCO SA","Financials","Aktien","1.896.678,42","0,02","1.896.678,42","713.037,00","2,66","Spanien","Bolsa De Madrid","EUR"
"THULE","THULE GROUP","Zyklische Konsumgüter ","Aktien","1.888.537,54","0,02","1.888.537,54","84.286,00","22,41","Schweden","Nasdaq Omx Nordic","SEK"
"AXFO","AXFOOD","Nichtzyklische Konsumgüter","Aktien","1.870.227,44","0,02","1.870.227,44","75.966,00","24,62","Schweden","Nasdaq Omx Nordic","SEK"
"VZN","VZ HOLDING AG","Financials","Aktien","1.864.481,87","0,02","1.864.481,87","11.772,00","158,38","Schweiz","SIX Swiss Exchange","CHF"
"VAR","VAR ENERGI","Energie","Aktien","1.860.677,95","0,02","1.860.677,95","693.878,00","2,68","Norwegen","Oslo Bors Asa","NOK"
"TOM","TOMRA SYSTEMS","Industrie","Aktien","1.857.908,87","0,02","1.857.908,87","167.658,00","11,08","Norwegen","Oslo Bors Asa","NOK"
"VK","VALLOUREC SA","Energie","Aktien","1.844.976,75","0,02","1.844.976,75","120.390,00","15,32","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"FR","VALEO","Zyklische Konsumgüter ","Aktien","1.844.053,75","0,02","1.844.053,75","163.625,00","11,27","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","1.838.399,30","0,02","1.838.399,30","2.140.264,00","85,90","Vereinigte Staaten","-","USD"
"LOOMIS","LOOMIS CLASS B","Industrie","Aktien","1.826.772,86","0,02","1.826.772,86","53.545,00","34,12","Schweden","Nasdaq Omx Nordic","SEK"
"PHP","PRIMARY HEALTH PROPERTIES REIT PLC","Immobilien","Aktien","1.822.162,12","0,02","1.822.162,12","1.685.242,00","1,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"FRA","FRAPORT FRANKFURT AIRPORT SERVICES","Industrie","Aktien","1.814.562,75","0,02","1.814.562,75","26.587,00","68,25","Deutschland","Xetra","EUR"
"INW","INFRASTRUTTURE WIRELESS ITALIANE","Kommunikation","Aktien","1.800.015,26","0,02","1.800.015,26","240.483,00","7,49","Italien","Borsa Italiana","EUR"
"FPE3","FUCHS PREF","Materialien","Aktien","1.797.953,08","0,02","1.797.953,08","47.971,00","37,48","Deutschland","Xetra","EUR"
"VIS","VISCOFAN SA","Nichtzyklische Konsumgüter","Aktien","1.788.633,00","0,02","1.788.633,00","34.265,00","52,20","Spanien","Bolsa De Madrid","EUR"
"BYG","BIG YELLOW GROUP PLC","Immobilien","Aktien","1.782.863,84","0,02","1.782.863,84","156.133,00","11,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"SHC","SHAFTESBURY CAPITAL PLC","Immobilien","Aktien","1.779.588,67","0,02","1.779.588,67","1.136.948,00","1,57","Vereinigtes Königreich","London Stock Exchange","GBP"
"CDI","CHRISTIAN DIOR","Zyklische Konsumgüter ","Aktien","1.775.382,00","0,02","1.775.382,00","3.093,00","574,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AMBU B","AMBU CLASS B","Gesundheitsversorgung","Aktien","1.768.999,70","0,02","1.768.999,70","155.361,00","11,39","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TCAP","TP ICAP GROUP PLC","Financials","Aktien","1.728.147,21","0,02","1.728.147,21","607.801,00","2,84","Vereinigtes Königreich","London Stock Exchange","GBP"
"KEMIRA","KEMIRA","Materialien","Aktien","1.716.639,21","0,02","1.716.639,21","90.207,00","19,03","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"JD.","JD SPORTS FASHION PLC","Zyklische Konsumgüter ","Aktien","1.705.039,49","0,02","1.705.039,49","1.888.228,00","0,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"VID","VIDRALA SA","Materialien","Aktien","1.698.592,50","0,02","1.698.592,50","20.589,00","82,50","Spanien","Bolsa De Madrid","EUR"
"AMV0","AUMOVIO N","Zyklische Konsumgüter ","Aktien","1.687.392,00","0,02","1.687.392,00","40.176,00","42,00","Deutschland","Xetra","EUR"
"FLS","FLSMIDTH AND CO CLASS B","Industrie","Aktien","1.688.051,10","0,02","1.688.051,10","30.107,00","56,07","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"CAMX","CAMURUS","Gesundheitsversorgung","Aktien","1.686.014,45","0,02","1.686.014,45","30.783,00","54,77","Schweden","Nasdaq Omx Nordic","SEK"
"VTY","VISTRY GROUP PLC","Zyklische Konsumgüter ","Aktien","1.665.507,93","0,02","1.665.507,93","233.725,00","7,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"BUCN","BUCHER INDUSTRIES AG","Industrie","Aktien","1.664.299,97","0,02","1.664.299,97","4.326,00","384,72","Schweiz","SIX Swiss Exchange","CHF"
"UTG","UNITE GROUP PLC","Immobilien","Aktien","1.657.327,18","0,02","1.657.327,18","280.715,00","5,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"BPT","BRIDGEPOINT GROUP PLC","Financials","Aktien","1.637.732,03","0,02","1.637.732,03","512.299,00","3,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"TBCG","TBC BANK GROUP PLC","Financials","Aktien","1.613.686,13","0,02","1.613.686,13","35.705,00","45,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"VPK","KONINKLIJKE VOPAK NV","Energie","Aktien","1.609.278,82","0,02","1.609.278,82","42.551,00","37,82","Niederlande","Euronext Amsterdam","EUR"
"PUM","PUMA","Zyklische Konsumgüter ","Aktien","1.608.476,82","0,02","1.608.476,82","79.746,00","20,17","Deutschland","Xetra","EUR"
"GFTU","GRAFTON GROUP PLC","Industrie","Aktien","1.601.840,21","0,02","1.601.840,21","153.189,00","10,46","Vereinigtes Königreich","London Stock Exchange","GBP"
"WIHL","WIHLBORGS FASTIGHETER","Immobilien","Aktien","1.561.855,60","0,02","1.561.855,60","189.788,00","8,23","Schweden","Nasdaq Omx Nordic","SEK"
"SCT","SOFTCAT PLC","IT","Aktien","1.551.787,36","0,02","1.551.787,36","94.644,00","16,40","Vereinigtes Königreich","London Stock Exchange","GBP"
"GRG","GREGGS PLC","Zyklische Konsumgüter ","Aktien","1.546.526,43","0,02","1.546.526,43","82.468,00","18,75","Vereinigtes Königreich","London Stock Exchange","GBP"
"EZJ","EASYJET PLC","Industrie","Aktien","1.525.536,43","0,02","1.525.536,43","279.871,00","5,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"ATE","ALTEN SA","IT","Aktien","1.524.618,60","0,02","1.524.618,60","22.487,00","67,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PUIG","PUIG BRANDS SA CLASS B","Nichtzyklische Konsumgüter","Aktien","1.504.022,85","0,02","1.504.022,85","101.281,00","14,85","Spanien","Bolsa De Madrid","EUR"
"BAVA","BAVARIAN NORDIC","Gesundheitsversorgung","Aktien","1.492.262,60","0,02","1.492.262,60","58.851,00","25,36","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"MF","WENDEL","Financials","Aktien","1.477.615,00","0,02","1.477.615,00","19.066,00","77,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SOP","SOPRA STERIA GROUP","IT","Aktien","1.471.197,00","0,02","1.471.197,00","10.778,00","136,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SFSN","SFS GROUP AG","Industrie","Aktien","1.464.580,38","0,02","1.464.580,38","13.034,00","112,37","Schweiz","SIX Swiss Exchange","CHF"
"DKSH","DKSH HOLDING AG","Industrie","Aktien","1.459.748,63","0,02","1.459.748,63","24.801,00","58,86","Schweiz","SIX Swiss Exchange","CHF"
"SDF","K+S AG","Materialien","Aktien","1.459.755,27","0,02","1.459.755,27","123.813,00","11,79","Deutschland","Xetra","EUR"
"HIAB","HIAB CORPORATION CLASS B","Industrie","Aktien","1.459.125,90","0,02","1.459.125,90","29.241,00","49,90","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"NOD","NORDIC SEMICONDUCTOR","IT","Aktien","1.458.436,23","0,02","1.458.436,23","132.724,00","10,99","Norwegen","Oslo Bors Asa","NOK"
"HPOL B","HEXPOL CLASS B","Materialien","Aktien","1.440.985,38","0,02","1.440.985,38","181.086,00","7,96","Schweden","Nasdaq Omx Nordic","SEK"
"BAKKA","BAKKAFROST","Nichtzyklische Konsumgüter","Aktien","1.413.436,82","0,02","1.413.436,82","34.637,00","40,81","Norwegen","Oslo Bors Asa","NOK"
"WALL B","WALLENSTAM CLASS B","Immobilien","Aktien","1.399.450,95","0,02","1.399.450,95","364.663,00","3,84","Schweden","Nasdaq Omx Nordic","SEK"
"AMP","AMPLIFON","Gesundheitsversorgung","Aktien","1.396.317,03","0,02","1.396.317,03","103.854,00","13,45","Italien","Borsa Italiana","EUR"
"TECN","TECAN GROUP AG","Gesundheitsversorgung","Aktien","1.384.539,08","0,01","1.384.539,08","10.006,00","138,37","Schweiz","SIX Swiss Exchange","CHF"
"DLN","DERWENT LONDON REIT PLC","Immobilien","Aktien","1.332.721,59","0,01","1.332.721,59","72.437,00","18,40","Vereinigtes Königreich","London Stock Exchange","GBP"
"BME","B&M EUROPEAN VALUE RETAIL SA","Zyklische Konsumgüter ","Aktien","1.324.398,29","0,01","1.324.398,29","740.571,00","1,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"AZE","AZELIS GROUP NV","Industrie","Aktien","1.301.663,49","0,01","1.301.663,49","149.017,00","8,73","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KINV B","KINNEVIK CLASS B","Financials","Aktien","1.292.504,73","0,01","1.292.504,73","169.867,00","7,61","Schweden","Nasdaq Omx Nordic","SEK"
"LXS","LANXESS AG","Materialien","Aktien","1.229.883,91","0,01","1.229.883,91","71.881,00","17,11","Deutschland","Xetra","EUR"
"OCDO","OCADO GROUP PLC","Nichtzyklische Konsumgüter","Aktien","1.198.979,90","0,01","1.198.979,90","445.914,00","2,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"TATE","TATE AND LYLE PLC","Nichtzyklische Konsumgüter","Aktien","1.175.238,48","0,01","1.175.238,48","280.795,00","4,19","Vereinigtes Königreich","London Stock Exchange","GBP"
"DIA","DIASORIN","Gesundheitsversorgung","Aktien","1.105.933,16","0,01","1.105.933,16","18.059,00","61,24","Italien","Borsa Italiana","EUR"
"SK","SEB SA","Zyklische Konsumgüter ","Aktien","1.099.278,06","0,01","1.099.278,06","22.591,00","48,66","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HEM","HEMNET GROUP","Kommunikation","Aktien","1.073.413,76","0,01","1.073.413,76","64.495,00","16,64","Schweden","Nasdaq Omx Nordic","SEK"
"MTO","MITIE GROUP PLC","Industrie","Aktien","881.775,45","0,01","881.775,45","472.800,00","1,87","Vereinigtes Königreich","London Stock Exchange","GBP"
"CHF","CHF CASH","Cash und/oder Derivate","Geldmarkt","740.999,92","0,01","740.999,92","692.424,00","107,01","Schweiz","-","CHF"
"DKK","DKK CASH","Cash und/oder Derivate","Geldmarkt","502.599,59","0,01","502.599,59","3.754.142,00","13,39","Dänemark","-","DKK"
"SEK","SEK CASH","Cash und/oder Derivate","Geldmarkt","418.763,06","0,00","418.763,06","4.541.554,00","9,22","Schweden","-","SEK"
"PLN","PLN CASH","Cash und/oder Derivate","Geldmarkt","266.738,24","0,00","266.738,24","1.127.031,00","23,67","Polen","-","PLN"
"NOK","NOK CASH","Cash und/oder Derivate","Geldmarkt","258.476,45","0,00","258.476,45","3.055.569,00","8,46","Norwegen","-","NOK"
"ETD_EUR","ETD EUR BALANCE WITH R84910","Cash und/oder Derivate","Geldmarkt","0,00","0,00","0,00","0,00","100,00","Europäische Union","-","EUR"
"SXS","SPECTRIS PLC","IT","Aktien","0,00","0,00","0,00","0,00","0,00","Vereinigtes Königreich","London Stock Exchange","GBP"
"SXOZ5","STOXX EUROPE 600 DEC 25","Cash und/oder Derivate","Futures","0,00","0,00","38.899.400,00","1.346,00","578,00","Europäische Union","Eurex Deutschland","EUR"
 
